Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical Cases
Montenegro,"296,542",,"2,846",,"291,794","1,902",N/A
Algeria,"272,010",,"6,881",,"183,061","82,068",
Nigeria,"267,188",,"3,155",,"259,953","4,080",11
Zimbabwe,"266,359",,"5,740",,"258,888","1,731",12
Uzbekistan,"253,662",,"1,637",,"241,486","10,539",23
Afghanistan,"234,174",,"7,996",,"211,080","15,098",
Mozambique,"233,731",,"2,250",,"228,805","2,676",11
Martinique,"230,354",,"1,102",,N/A,N/A,N/A
Laos,"218,970",,758,,N/A,N/A,
Iceland,"209,906",,229,,N/A,N/A,
Kyrgyzstan,"206,897",,"2,991",,"196,406","7,500",131
Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A
El Salvador,"201,855",,"4,230",,"179,410","18,215",
Trinidad and Tobago,"191,496",,"4,390",,"187,078",28,N/A
Maldives,"186,694",,316,,"163,687","22,691",25
Namibia,"172,389",,"4,106",,"167,099","1,184",
Uganda,"172,149",,"3,632",,"100,431","68,086",
Ghana,"171,889",,"1,462",,"170,425",2,
Jamaica,"156,869",,"3,756",,N/A,N/A,
Cambodia,"139,103",,"3,056",,"136,044",3,
Rwanda,"133,518",,"1,468",,"132,039",11,
Cameroon,"125,379",,"1,974",,"123,280",125,N/A
Malta,"121,420",,885,,"120,149",386,
Barbados,"110,578",,648,,"108,647","1,283",
Angola,"107,327",,"1,937",,"103,419","1,971",
Channel Islands,"101,717",,228,,"101,321",168,
DRC,"99,338",,"1,468",,"84,489","13,381",
French Guiana,"98,041",,420,,"11,254","86,367",6
Malawi,"89,535",,"2,686",,N/A,N/A,N/A
Senegal,"89,053",,"1,971",,"87,024",58,
Ivory Coast,"88,384",,835,,"87,497",52,
Suriname,"82,588",,"1,408",,N/A,N/A,
New Caledonia,"80,064",,314,,N/A,N/A,N/A
French Polynesia,"79,254",,650,,N/A,N/A,N/A
Eswatini,"75,191",,"1,427",,"73,116",648,
Guyana,"74,137",,"1,300",,"72,013",824,
Belize,"71,409",,688,,N/A,N/A,N/A
Fiji,"69,117",,885,,"67,226","1,006",
Madagascar,"68,486",,"1,426",,"66,862",198,
Cabo Verde,"64,477",,417,,"63,755",305,23
Sudan,"63,993",,"5,046",,"58,947",0,
Mauritania,"63,848",,997,,"62,471",380,
Bhutan,"62,697",,21,,"61,564","1,112",
Syria,"57,743",,"3,165",,"54,578",0,
Burundi,"54,721",,38,,"53,569","1,114",
Seychelles,"51,220",,172,,"51,048",0,
Gabon,"49,051",,307,,"48,674",70,
Andorra,"48,015",,165,,N/A,N/A,N/A
Papua New Guinea,"46,864",,670,,"46,168",26,N/A
Curaçao,"45,986",,295,,"44,720",971,3
Aruba,"44,224",,292,,"42,438","1,494",2
Tanzania,"43,223",,846,,N/A,N/A,N/A
Mauritius,"43,025",,"1,051",,"41,278",696,
Mayotte,"42,027",,188,,N/A,N/A,
Togo,"39,572",,290,,"39,281",1,
Guinea,"38,572",,468,,"37,757",347,N/A
Bahamas,"38,084",,844,,"36,366",874,1
Isle of Man,"38,008",,116,,N/A,N/A,
Lesotho,"36,138",,723,,"25,980","9,435",
Haiti,"34,667",,860,,"33,734",73,
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A
Mali,"33,164",,743,,"32,332",89,
Cayman Islands,"31,472",,37,,"8,553","22,882",1
Saint Lucia,"30,215",,410,,"29,805",0,
Benin,"28,036",,163,,"27,847",26,
Macao,"27,673",,123,,"3,487","24,063",
Somalia,"27,334",,"1,361",,"13,182","12,791",
Micronesia,"26,547",,65,,N/A,N/A,N/A
San Marino,"26,185",,128,,"26,011",46,N/A
Solomon Islands,"25,954",,199,,N/A,N/A,N/A
Congo,"25,375",,386,,"24,006",983,
Timor-Leste,"23,460",,138,,"23,102",220,
Burkina Faso,"22,114",,400,,"21,596",118,
Liechtenstein,"21,574",,94,,N/A,N/A,N/A
Gibraltar,"20,550",,113,,N/A,N/A,
Grenada,"19,693",,238,,"19,358",97,4
Bermuda,"18,860",,165,,"18,685",10,
South Sudan,"18,819",,147,,"18,115",557,1
Nicaragua,"18,491",,225,,"4,225","14,041",
Tajikistan,"17,786",,125,,"17,264",397,
Equatorial Guinea,"17,229",,183,,"16,907",139,5
Monaco,"17,181",,67,,N/A,N/A,N/A
Samoa,"17,006",,31,,"1,605","15,370",
Tonga,"16,950",,13,,"15,638","1,299",
Marshall Islands,"16,138",,17,,"16,121",0,
Dominica,"16,038",,74,,"15,964",0,
Djibouti,"15,690",,189,,"15,427",74,
CAR,"15,440",,113,,"15,200",127,2
Gambia,"12,626",,372,,"12,189",65,
Saint Martin,"12,324",,63,,N/A,N/A,N/A
Vanuatu,"12,019",,14,,"11,976",29,
Greenland,"11,971",,21,,"2,761","9,189",4
Yemen,"11,945",,"2,159",,"9,124",662,N/A
Caribbean Netherlands,"11,682",,38,,"10,476","1,168",
Sint Maarten,"11,051",,92,,"10,905",54,N/A
Eritrea,"10,189",,103,,"10,086",0,
Niger,"9,931",,312,,"8,890",729,1
St. Vincent Grenadines,"9,674",,124,,"9,493",57,
Guinea-Bissau,"9,614",,177,,"8,929",508,6
Comoros,"9,109",,161,,"8,939",9,
Antigua and Barbuda,"9,106",,146,,"8,954",6,N/A
Liberia,"8,090",,295,,"7,783",12,2
Sierra Leone,"7,779",,126,,N/A,N/A,
Chad,"7,701",,194,,"4,874","2,633",
British Virgin Islands,"7,392",,64,,N/A,N/A,
Cook Islands,"7,203",,2,,"7,150",51,
Sao Tome and Principe,"6,778",,80,,"6,685",13,
Turks and Caicos,"6,752",,40,,"6,709",3,4
Saint Kitts and Nevis,"6,607",,48,,"6,559",0,
Palau,"6,290",,10,,"6,276",4,
St. Barth,"5,507",,6,,N/A,N/A,
Nauru,"5,393",,1,,"5,347",45,
Kiribati,"5,085",,24,,"2,703","2,358",3
Anguilla,"3,904",,12,,N/A,N/A,N/A
Wallis and Futuna,"3,550",,8,,438,"3,104",
Saint Pierre Miquelon,"3,452",,2,,"2,449","1,001",
Tuvalu,"2,943",,1,,N/A,N/A,N/A
Saint Helena,"2,166",,,,2,"2,164",
Falkland Islands,"1,930",,,,"1,930",0,
Montserrat,"1,403",,8,,"1,376",19,
Niue,"1,059",,,,"1,056",3,
Diamond Princess,712,,13,,699,0,
Tokelau,80,,,,,80,
Vatican City,29,,,,29,0,
Western Sahara,10,,1,,9,0,
MS Zaandam,9,,2,,7,0,
China,"503,302",,"5,272",,"379,053","118,977",N/A
